KRFP1141	[!#1][NH]S(=O)(=O)[CH3]
KRFP1142	[!#1][NH]S(=O)(=O)[NH]C([CH3])([CH3])[CH3]
KRFP1143	[!#1][NH]S(=O)(=O)[NH]C(=O)N([!#1])[CH3]
KRFP1144	[!#1][NH]S(=O)[!#1]
KRFP1145	[!#1][NH]S[!#1]
KRFP1146	[!#1][NH2]
KRFP1147	[!#1][O-]
KRFP1148	[!#1][OH]
KRFP1149	[!#1][SH]
KRFP115	[!#1][CH]([OH])[CH2][OH]
KRFP1150	[!#1]Br
KRFP1151	[!#1]C#C[!#1]
KRFP1152	[!#1]C#CC([CH3])([CH3])[OH]
KRFP1153	[!#1]C#N
KRFP1154	[!#1]C([!#1])([!#1])[!#1]
KRFP1155	[!#1]C([!#1])([!#1])[CH2][CH3]
KRFP1156	[!#1]C([!#1])([!#1])[CH3]
KRFP1157	[!#1]C([!#1])([!#1])[OH]
KRFP1158	[!#1]C([!#1])([!#1])c1[cH][cH][cH][cH][cH]1
KRFP1159	[!#1]C([!#1])([CH3])[CH2][CH3]
KRFP116	[!#1][CH]([OH])C(=N[NH]C(=O)[!#1])[!#1]
KRFP1160	[!#1]C([!#1])([CH3])[CH3]
KRFP1161	[!#1]C([!#1])([CH3])[OH]
KRFP1162	[!#1]C([!#1])([OH])c1[cH][cH][cH][cH][cH]1
KRFP1163	[!#1]C([!#1])(C#N)C#N
KRFP1164	[!#1]C([!#1])(Cl)C([!#1])([!#1])[N+](=O)[O-]
KRFP1165	[!#1]C([!#1])(Cl)Cl
KRFP1166	[!#1]C([CH3])([CH3])[CH2][CH]([CH3])[OH]
KRFP1167	[!#1]C([CH3])([CH3])[CH2][CH]([CH3])OC(=O)C([CH3])([CH3])[CH3]
KRFP1168	[!#1]C([CH3])([CH3])[CH2][CH]=C([CH3])[CH2][CH2][CH]=C([CH3])[CH3]
KRFP1169	[!#1]C([CH3])([CH3])[CH2][CH3]
KRFP117	[!#1][CH]([OH])C(Cl)(Cl)Cl
KRFP1170	[!#1]C([CH3])([CH3])[CH2][OH]
KRFP1171	[!#1]C([CH3])([CH3])[CH2]C([CH3])([CH3])[CH3]
KRFP1172	[!#1]C([CH3])([CH3])[CH2]N([CH3])[CH3]
KRFP1173	[!#1]C([CH3])([CH3])[CH3]
KRFP1174	[!#1]C([OH])([CH2][CH]=[CH2])[CH2][CH]=[CH2]
KRFP1175	[!#1]C([OH])(C(=O)O[CH2][CH3])C(F)(F)F
KRFP1176	[!#1]C([OH])(C(=O)O[CH3])C(F)(F)F
KRFP1177	[!#1]C([OH])(C(F)(F)F)C(F)(F)F
KRFP1178	[!#1]C(=[CH]C(=O)[CH3])[CH3]
KRFP1179	[!#1]C(=[CH]C(=O)O[CH2][CH3])[CH3]
KRFP118	[!#1][CH]([OH])C(F)(F)F
KRFP1180	[!#1]C(=N[NH]C(=O)[!#1])[!#1]
KRFP1181	[!#1]C(=N[NH]C(=O)[!#1])[CH3]
KRFP1182	[!#1]C(=N[NH]C(=O)[NH2])[CH3]
KRFP1183	[!#1]C(=N[NH]S(=O)(=O)[!#1])[CH3]
